id,user_id,date,amount,category,vendor,type,description,is_recurring,receipt_data,created_at,order_index
0cc03df0-5e20-4d5c-9dd6-1e1bf735df37,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2025-12-31,100,Entertainment,Paputok,EXPENSE,,false,,2026-01-03 17:41:20.574932+00,5
0dc41f06-0a41-48f7-b6eb-47184acbdb4c,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2026-01-01,4250,Gift,Pamasko,INCOME,,false,,2025-12-31 20:50:52.747721+00,4
18cb2771-185d-475f-80a9-85f649c578a4,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2025-09-17,7000,Freelance,Savings,INCOME,,false,,2025-12-31 04:08:30.887215+00,17
303c0b45-5cab-4cbb-999d-421307572c0b,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2025-10-23,3000,Games,Yotei,EXPENSE,,false,,2025-12-29 07:59:52.704731+00,15
38180e80-7c23-4ea8-872a-af3783468536,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2026-01-03,130,Food trip with friends,Matcha,EXPENSE,,false,,2026-01-03 17:28:37.090858+00,1
381d00ee-804d-4b5c-9c74-9ebcad5c4b4d,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2025-10-23,3500,Games,"MHW ",EXPENSE,,false,,2025-12-29 07:58:54.602747+00,16
41ecd90a-d625-450d-88c0-416328a24f69,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2026-01-03,150,Food trip with friends,24 chicken,EXPENSE,,false,,2026-01-03 08:09:33.730177+00,3
48335b49-821c-4f8c-85e5-2b55f0cc852f,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2025-10-24,3000,Gift,Kuya noy,INCOME,,false,,2025-12-29 08:00:08.001159+00,14
4db116e0-2bad-4248-a65b-ee83c59cdb69,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2025-07-16,2100,Investment,Tita 50 dollar,INCOME,,false,,2025-12-31 04:16:01.590957+00,18
63752564-d568-468e-ace6-b491c2573e00,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2026-01-03,300,Entertainment,Lazer tag,EXPENSE,,false,,2026-01-03 09:40:07.971766+00,2
8bdf959e-1a93-4fe5-8726-0f442af68919,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2026-01-03,130,Food trip with friends,Kfc,EXPENSE,,false,,2026-01-03 17:28:58.385728+00,0
b5d59cd1-5052-4548-9e95-2f5c7ba4d944,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2025-12-25,8650,Savings,Savings,INCOME,,false,,2025-12-26 07:48:41.748651+00,7
bd03fcfa-cc23-48e3-ad1f-8af2b356c872,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2025-12-22,10500,Gift,Father/Mother,INCOME,,false,,2025-12-26 08:13:01.225666+00,12
d9e3246b-84bc-4f83-93ef-b5461348131c,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2025-12-22,5100,Laptop Related Utilities,Asus DDR5 32GB Ram,EXPENSE,,false,,2025-12-26 16:24:58.809473+00,10
e05a56d2-5bd6-4360-a285-c1d1b937be7d,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2025-12-25,230,Food trip with friends,KFC,EXPENSE,,false,,2025-12-26 16:18:58.577532+00,9
e15689ac-a03c-4a95-a842-69efa569a1fb,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2026-01-09,89,Drinks,Uforia,EXPENSE,,false,,2026-01-09 02:41:47.839524+00,0
e5ae494f-798c-4d48-be51-ac5e9d6c631a,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2025-12-25,1000,Gift,Tita,INCOME,,false,,2025-12-26 08:23:09.916076+00,8
e741456c-3d1c-4bc9-a2c8-8209eb4fdd39,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2025-12-21,125,Food trip with friends,Matcha at lawson and Food at Mcdo,EXPENSE,,false,,2025-12-26 08:12:03.752255+00,13
f9455030-512d-42d9-994d-9617388a4862,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2025-12-22,5400,Laptop Related Utilities,Asus Kingston NV3,EXPENSE,,false,,2025-12-26 08:18:11.093595+00,11
fb0aae19-78c8-4bcf-9bbf-4d33e8304da3,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2025-06-11,20000,Investment,Savings,INCOME,,false,,2025-12-31 04:13:45.566465+00,19
fe07cb9d-3816-466c-9c6d-ee75882caeec,1aa5c48f-8f9e-4557-bde9-833c4c9faa43,2025-12-28,85,Food trip with friends,Pickup Coffee Matcha,EXPENSE,,false,,2025-12-28 16:45:50.461423+00,6
